tipo,isArray,nombreJava,numP,nombreCloud,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->REFNO,133,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->CCTKey,134,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->CCTType,135,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionID,136,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionAmount,137,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionTaxAmount,138,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionCurrency,139,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionPostedAmount,140,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionPostedCurrency,141,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionDate,142,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionPostedDate,143,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionDescription,144,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->MCCODE,145,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionMerchantName,146,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionMerchantCity,147,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionMerchantState,148,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionMerchantCountry,149,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionMerchantREFNUM,150,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionBillingType,151,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->BillToEmployeeExchangeRate,152,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->BillingAmount,153,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->IndividualCreditCardAccountNumber,154,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->IndividualCreditCardDescription,155,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->MerchantDoingBusinessAs,156,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->AcquirerReferenceNumber,157,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryLocationData->EntryCountry,158,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryLocationData->EntryCountrySub,159,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryLocationData->DomesticForeign,160,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryLocationData->MarketCode,161,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryLocationData->ProcessorReferenceNumber,162,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$JournalEntryData->PayerPayType,163,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$JournalEntryData->PayerPayCode,164,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$JournalEntryData->PayeePayType,165,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$JournalEntryData->PayeePayCode,166,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$JournalEntryData->AccountCode,167,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$JournalEntryData->DRCR,168,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$JournalEntryData->JournalAmt,169,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$JournalEntryData->JournalKey,170,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CarMileageData->CarBusinessDistance,171,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CarMileageData->CarPersonalDistance,172,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CarMileageData->CarPassengerCount,173,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CarMileageData->VehicleID,174,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CarMileageData->FutureUse,175,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CarMileageData->FutureUse1,176,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CashAdvanceData->CashAdvanceAmount,177,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CashAdvanceData->CARequestCurrencyAlphaISO,178,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CashAdvanceData->CARequestCurrencyNumISO,179,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CashAdvanceData->CashAdvanceExchangeRate,180,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CashAdvanceData->CACurrencyAlphaISO,181,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CashAdvanceData->CACurrencyNumISO,182,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CashAdvanceData->CashAdvanceIssueDate,183,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CashAdvanceData->CashAdvancePaymentCode,184,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CashAdvanceData->CashAdvanceTransactionType,185,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CashAdvanceData->CashAdvanceRequestDate,186,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CashAdvanceData->CAKey,187,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CashAdvanceData->FutureUse,188,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$AllocationData->AllocationAllocKey,189,,,,,,
